S_0,v_0,kappa,theta,gamma,rho,r,K,T,EEP
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,110,0.5,0.7614392622097927
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,90,0.75,0.1072987989403566
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,95,0.75,0.1997370548111354
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,100,0.75,0.3502310645819007
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,105,0.75,0.5844644680992754
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,110,0.75,0.9388644579638096
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,90,1.0,0.1781168666876369
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,95,1.0,0.3002332042484017
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,100,1.0,0.4832603734000464
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,105,1.0,0.7489380996953887
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,110,1.0,1.1268350377513698
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,90,0.5,0.0116093161880843
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,95,0.5,0.0331910258986063
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,100,0.5,0.0821824312420416
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,105,0.5,0.178817349325894
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,110,0.5,0.3485565498780509
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,90,0.75,0.0276483576892847
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,95,0.75,0.0647168083381508
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,100,0.75,0.1361805984614852
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,105,0.75,0.2606411331644214
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,110,0.75,0.4600576613212421
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,90,1.0,0.0483125323473647
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,95,1.0,0.1008172903206241
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,100,1.0,0.1929219069770198
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,105,1.0,0.3419268045450998
100.0,0.0270567617457899,4.909163388072491,0.0220189584920697,0.1027261810640246,-0.7299378768996033,0.0195333318097321,110,1.0,0.5675504558243478
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,90,0.5,0.1000802897998167
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,95,0.5,0.1997012713629535
